Zhuyin	Hanyu Pinyin	Tongyong Pinyin	Frequency  (per million)
ㄅㄚ	ba	ba	2359.58
ㄅㄛ	bo	bo	1429.46
ㄅㄞ	bai	bai	1128.53
ㄅㄟ	bei	bei	4395.94
ㄅㄠ	bao	bao	4966.98
ㄅㄢ	ban	ban	4279.48
ㄅㄣ	ben	ben	3460.86
ㄅㄤ	bang	bang	621.24
ㄅㄥ	beng	beng	42.28
ㄅㄧ	bi	bi	2816.03
ㄅㄧㄝ	bie	bie	1120.76
ㄅㄧㄠ	biao	biao	3395.65
ㄅㄧㄢ	bian	bian	2338.11
ㄅㄧㄣ	bin	bin	257.26
ㄅㄧㄥ	bing	bing	2298.49
ㄅㄨ	bu	bu	7293.31
ㄆㄚ	pa	pa	157.55
ㄆㄛ	po	po	668.69
ㄆㄞ	pai	pai	937.61
ㄆㄟ	pei	pei	797.54
ㄆㄠ	pao	pao	265.71
ㄆㄡ	pou	pou	29
ㄆㄢ	pan	pan	523.75
ㄆㄣ	pen	pen	86.21
ㄆㄤ	pang	pang	184.04
ㄆㄥ	peng	peng	571.63
ㄆㄧ	pi	pi	1010.48
ㄆㄧㄝ	pie	pie	4.73
ㄆㄧㄠ	piao	piao	603.04
ㄆㄧㄢ	pian	pian	1283.21
ㄆㄧㄣ	pin	pin	2416.41
ㄆㄧㄥ	ping	ping	1471.73
ㄆㄨ	pu	pu	580.68
ㄇㄚ	ma	ma	1800.07
ㄇㄛ	mo	mo	1670.62
ㄇㄜ	me	me	450.05
ㄇㄞ	mai	mai	906.69
ㄇㄟ	mei	mei	3653.49
ㄇㄠ	mao	mao	721.26
ㄇㄡ	mou	mou	170.07
ㄇㄢ	man	man	706
ㄇㄣ	men	men	2436.75
ㄇㄤ	mang	mang	177.28
ㄇㄥ	meng	meng	505.19
ㄇㄧ	mi	mi	1026.21
ㄇㄧㄝ	mie	mie	77.09
ㄇㄧㄠ	miao	miao	504.89
ㄇㄧㄡ	miu	miou	5.78
ㄇㄧㄢ	mian	mian	2150.51
ㄇㄧㄣ	min	min	2704.17
ㄇㄧㄥ	ming	ming	4690.84
ㄇㄨ	mu	mu	2726.79
ㄈㄚ	fa	fa	5527.16
ㄈㄛ	fo	fo	222.21
ㄈㄟ	fei	fei	2354.39
ㄈㄡ	fou	fou	376.75
ㄈㄢ	fan	fan	1901.17
ㄈㄣ	fen	fen	3974.63
ㄈㄤ	fang	fang	3959.34
ㄈㄥ	feng	fong	1580.03
ㄈㄨ	fu	fu	7046.83
ㄉㄚ	da	da	7342.06
ㄉㄜ	de	de	19931.43
ㄉㄞ	dai	dai	2107.21
ㄉㄟ	dei	dei	4.23
ㄉㄠ	dao	dao	5512.63
ㄉㄡ	dou	dou	750.85
ㄉㄢ	dan	dan	3169.23
ㄉㄣ	den	den	0
ㄉㄤ	dang	dang	2192.45
ㄉㄥ	deng	deng	2167.9
ㄉㄧ	di	di	7096.16
ㄉㄧㄝ	die	die	506.33
ㄉㄧㄠ	diao	diao	696.67
ㄉㄧㄡ	diu	diou	24.5
ㄉㄧㄢ	dian	dian	6277.49
ㄉㄧㄤ(+)	diang	diang	0
ㄉㄧㄥ	ding	ding	2661.91
ㄉㄨ	du	du	3013.75
ㄉㄨㄛ	duo	duo	1685.68
ㄉㄨㄟ	dui	duei	2519.08
ㄉㄨㄢ	duan	duan	1130.52
ㄉㄨㄣ	dun	dun	376.55
ㄉㄨㄥ	dong	dong	4112.81
ㄊㄚ	ta	ta	2797.14
ㄊㄜ	te	te	1169.92
ㄊㄞ	tai	tai	7028.25
ㄊㄠ	tao	tao	1967.71
ㄊㄡ	tou	tou	1769.16
ㄊㄢ	tan	tan	1067.44
ㄊㄤ	tang	tang	499.22
ㄊㄥ	teng	teng	233.24
ㄊㄧ	ti	ti	7103.74
ㄊㄧㄝ	tie	tie	640.97
ㄊㄧㄠ	tiao	tiao	1053.71
ㄊㄧㄢ	tian	tian	2922.65
ㄊㄧㄥ	ting	ting	1278.49
ㄊㄨ	tu	tu	2459.09
ㄊㄨㄛ	tuo	tuo	528.91
ㄊㄨㄟ	tui	tuei	956.46
ㄊㄨㄢ	tuan	tuan	852.74
ㄊㄨㄣ	tun	tun	96.94
ㄊㄨㄥ	tong	tong	6377.97
ㄋㄚ	na	na	1031.01
ㄋㄜ	ne	ne	206.71
ㄋㄞ	nai	nai	289.32
ㄋㄟ	nei	nei	2263.07
ㄋㄠ	nao	nao	1192.7
ㄋㄡ	nou	nou	6.42
ㄋㄢ	nan	nan	2022.66
ㄋㄣ	nen	nen	7.22
ㄋㄤ	nang	nang	31.04
ㄋㄥ	neng	neng	2011.65
ㄋㄧ	ni	ni	2372.81
ㄋㄧㄚ(+)	nia	nia	0
ㄋㄧㄝ	nie	nie	86.98
ㄋㄧㄠ	niao	niao	238.99
ㄋㄧㄡ	niu	niou	272.59
ㄋㄧㄢ	nian	nian	4482.49
ㄋㄧㄣ	nin	nin	1256.88
ㄋㄧㄤ	niang	niang	141.18
ㄋㄧㄥ	ning	ning	136.3
ㄋㄨ	nu	nu	141.73
ㄋㄨㄛ	nuo	nuo	134.33
ㄋㄨㄢ	nuan	nuan	40.99
ㄋㄨㄣ(+)	nun	nun	0
ㄋㄨㄥ	nong	nong	562.74
ㄋㄩ	nü	nyu	793.6
ㄋㄩㄝ	nue	nyue	20.5
ㄌㄚ	la	la	580.62
ㄌㄛ(+)	lo	lo	0
ㄌㄜ	le	le	2362.98
ㄌㄞ	lai	lai	2843.28
ㄌㄟ	lei	lei	1757.7
ㄌㄠ	lao	lao	1016.64
ㄌㄡ	lou	lou	568.25
ㄌㄢ	lan	lan	1470.52
ㄌㄤ	lang	lang	452.23
ㄌㄥ	leng	leng	220.93
ㄌㄧ	li	li	12120.99
ㄌㄧㄚ	lia	lia	8.64
ㄌㄧㄝ	lie	lie	1044.75
ㄌㄧㄠ	liao	liao	3597.37
ㄌㄧㄡ	liu	liou	3551.5
ㄌㄧㄢ	lian	lian	2720.74
ㄌㄧㄣ	lin	lin	1659.12
ㄌㄧㄤ	liang	liang	2137.76
ㄌㄧㄥ	ling	ling	1745.34
ㄌㄨ	lu	lu	5525.32
ㄌㄨㄛ	luo	luo	1209.34
ㄌㄨㄢ	luan	luan	139.83
ㄌㄨㄣ	lun	lun	2080.93
ㄌㄨㄥ	long	long	1653.36
ㄌㄩ	lü	lyu	1622.03
ㄌㄩㄝ	lue	lyue	218.73
ㄌㄩㄢ(+)	lüan	lyuan	6.12
ㄌㄩㄣ(+)	lün	lyuen	0
ㄍㄚ	ga	ga	152.86
ㄍㄜ	ge	ge	3715.34
ㄍㄞ	gai	gai	1520.29
ㄍㄟ	gei	gei	629.32
ㄍㄠ	gao	gao	3541.46
ㄍㄡ	gou	gou	1685.21
ㄍㄢ	gan	gan	1257.29
ㄍㄣ	gen	gen	495.59
ㄍㄤ	gang	gang	957.84
ㄍㄥ	geng	geng	832.25
